Mina;Destino;Tipo Material;Grupo ;Distancia;Rango;Pertenencia;;
PP ESTERIL PROVIDENCIA;Oro Perdido;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA RC;Casa Martín;Esteril;AMS;5,4; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;Oro Manantial;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL SANDRA K RC;Casa Martin;Esteril;AMS;5,7; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Oro Manantial;Esteril;AMS;5,3; 3,1 a 8 ;Segovia;;
PP ESTERIL PROVIDENCIA RC;Arreglos De Vias Zona Industrial;Esteril;AMS;5,4; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA;ACOPIO POMAROSA;Esteril;AMS;5; 3,1 a 8 ;Remedios;;
PP ESTERIL SANDRA K;Arreglo De Vias Zona Industrial;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K RC;Plaza Trio;Esteril;AMS;5,7; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA RC;Plaza Trio;Esteril;AMS;5,4; 3,1 a 8 ;NA;;
PP-ESTERIL-OME (SAN FENIX);Poma Rosa;Esteril;OME;3; 0 a 3 ;Segovia;;
PP ESTERIL SANDRA K;Planta Maria Dama-Trio;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Mina Cristales;Esteril;AMS;15,6; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Explotaciones Gold;Esteril;AMS;21; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;RH Planta de colas y relaves.;Esteril;AMS;18; 8,1 a 20 ;NA;;
